# from http://www.nasdaq.com/symbol/ibm/historical
"date","close","volume","open","high","low"
"2016/10/20","151.5200","4020780.0000","151.2800","152.9000","151.0200"
"2016/10/19","151.2600","4629444.0000","151.2700","152.4500","150.8300"
"2016/10/18","150.7200","12764180.0000","150.0200","151.0000","147.7900"
"2016/10/17","154.7700","5836054.0000","154.4500","155.8900","154.3400"
"2016/10/14","154.4500","4357890.0000","154.4700","155.5300","154.0900"
"2016/10/13","153.7200","2909898.0000","153.7000","154.2200","152.2700"
"2016/10/12","154.2900","2959700.0000","154.9700","154.9700","153.0800"
"2016/10/11","154.7900","2899603.0000","156.7300","156.9500","153.8900"
"2016/10/10","157.0200","2467856.0000","156.7100","158.4900","156.6550"
"2016/10/07","155.6700","2668385.0000","157.1400","157.7000","154.8600"
"2016/10/06","156.8800","1949931.0000","156.8400","157.4300","155.8900"
"2016/10/05","157.0800","1684298.0000","157.0700","157.8300","156.7200"
"2016/10/04","156.4600","2884146.0000","157.6700","158.5300","155.8200"
"2016/10/03","157.6100","2227749.0000","158.0600","158.3700","157.0200"
"2016/09/30","158.8500","3596878.0000","158.9000","159.8380","158.0600"
"2016/09/29","158.1100","3372183.0000","158.6300","165.0000","157.4600"
"2016/09/28","158.2900","3309408.0000","156.9900","158.6250","156.2300"
"2016/09/27","156.7700","2983602.0000","154.3200","156.7700","153.8100"
"2016/09/26","153.9800","2533325.0000","154.4600","154.4600","153.4600"
"2016/09/23","154.9800","2692083.0000","155.6200","156.0400","154.7100"
"2016/09/22","156.1100","2690905.0000","156.1500","157.2200","155.6900"
"2016/09/21","155.5300","2473895.0000","154.9100","155.6800","153.8700"
"2016/09/20","154.4500","2159092.0000","155.8700","156.5700","154.4500"
"2016/09/19","154.8700","2448148.0000","154.8700","156.1900","154.5500"
"2016/09/16","153.8400","6429919.0000","155.0400","155.4000","153.4700"
"2016/09/15","155.6600","3656413.0000","154.3000","156.3300","153.2100"
"2016/09/14","154.0500","3858076.0000","155.7000","155.8700","153.3900"
"2016/09/13","155.8100","3631768.0000","157.6300","157.9300","155.5000"
"2016/09/12","158.2900","4366853.0000","155.2600","158.5300","154.8400"
"2016/09/09","155.6900","5080266.0000","158.0300","158.4000","155.6500"
"2016/09/08","159.0000","3928085.0000","160.5500","161.2100","158.7600"
"2016/09/07","161.6400","2866127.0000","160.1900","161.7600","160.0000"
"2016/09/06","160.3500","2994041.0000","159.8800","160.8600","159.1100"
"2016/09/02","159.5500","2313289.0000","159.8800","160.5700","159.1500"
"2016/09/01","159.5400","2351932.0000","158.3200","159.6200","158.1000"
"2016/08/31","158.8800","2321269.0000","159.6600","159.6600","158.2600"
"2016/08/30","159.4000","1808553.0000","159.7600","160.1500","158.8100"
"2016/08/29","159.7200","2475853.0000","158.8300","160.2100","158.5000"
"2016/08/26","158.3200","2498903.0000","158.8800","160.4400","157.8500"
"2016/08/25","158.6300","2575023.0000","159.0000","159.5400","158.4200"
"2016/08/24","159.0500","3618469.0000","159.8900","160.1800","158.3200"
"2016/08/23","160.2600","2838137.0000","160.3300","161.3400","160.2300"
"2016/08/22","160.0000","2038851.0000","160.0000","160.5700","159.1300"
"2016/08/19","160.0400","2733579.0000","160.8400","160.9100","159.5200"
"2016/08/18","161.3600","3650651.0000","160.8900","162.0000","160.4401"
"2016/08/17","160.4400","3225919.0000","160.9700","161.1600","159.8400"
"2016/08/16","160.7000","2208382.0000","161.1100","161.9300","160.6900"
"2016/08/15","161.8800","2967957.0000","162.4000","162.9700","161.7800"
"2016/08/12","161.9500","2542495.0000","163.1900","163.4600","161.5200"
"2016/08/11","163.5300","8768582.0000","162.2500","164.9500","162.1800"
"2016/08/10","162.0800","2417982.0000","162.1900","162.6600","161.9550"
"2016/08/09","161.7700","2734106.0000","162.2200","162.7720","161.6450"
"2016/08/08","162.0400","3039081.0000","162.7300","163.2700","161.5800"
"2016/08/05","163.5000","3811638.0000","162.0000","163.5100","161.5700"
"2016/08/04","161.5500","2476730.0000","160.8600","161.7000","160.1200"
"2016/08/03","160.6700","2861558.0000","160.1300","160.8600","159.8000"
"2016/08/02","160.5800","3078620.0000","161.2700","161.4499","160.3600"
"2016/08/01","161.4500","2819141.0000","160.6500","161.6500","159.8400"
"2016/07/29","160.6200","3547292.0000","161.3600","161.6700","160.0300"
"2016/07/28","161.3700","2337914.0000","161.3800","161.8100","160.7100"
"2016/07/27","161.8300","2162675.0000","162.1200","162.5700","161.1800"
"2016/07/26","162.1200","2891300.0000","162.6500","163.6000","161.3700"
"2016/07/25","162.6500","2737628.0000","162.0000","162.8800","161.7500"
"2016/07/22","162.0700","2519776.0000","160.7800","162.1700","160.4790"
"2016/07/21","160.4500","4045682.0000","160.7500","161.8500","159.8900"
"2016/07/20","161.3600","4373009.0000","159.9700","161.7100","159.6000"
"2016/07/19","159.5800","7118788.0000","161.7800","162.1400","157.8900"
"2016/07/18","159.8600","6561873.0000","159.3000","160.7500","158.7300"
"2016/07/15","159.7800","4470663.0000","159.9000","159.9800","158.5000"
"2016/07/14","160.2800","4636668.0000","158.8100","161.4000","158.5800"
"2016/07/13","158.0200","2744622.0000","157.7500","158.3400","157.0600"
"2016/07/12","157.0400","3842709.0000","156.0000","157.1200","155.5200"
"2016/07/11","155.3300","2779343.0000","154.6000","156.0400","154.5000"
"2016/07/08","154.4600","3040393.0000","154.0000","154.6000","153.0800"
"2016/07/07","152.6000","2138421.0000","152.7500","153.6891","151.8900"
"2016/07/06","152.3700","2569393.0000","151.8500","152.4100","149.9200"
"2016/07/05","151.6800","2462590.0000","151.1900","152.0000","150.7600"
